epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.55,1.49722,1.49673,1.20204,0.88419,0.83081,0.90259,0.51119,1.38432,0.92258,1.16605,0.000554253,0.000554253,0.000554253
2,223.551,1.43892,0.99644,1.18141,0.8755,0.83071,0.90151,0.52481,1.34582,0.7828,1.17518,0.00108794,0.00108794,0.00108794
3,330.824,1.43078,0.91259,1.19116,0.89656,0.80362,0.89218,0.49349,1.4168,0.77261,1.21939,0.00159963,0.00159963,0.00159963
4,432.753,1.40971,0.86033,1.18312,0.87113,0.81801,0.89325,0.51474,1.37781,0.76357,1.19688,0.00156798,0.00156798,0.00156798
5,534.468,1.38907,0.82158,1.17696,0.88327,0.8555,0.91681,0.54049,1.33888,0.70756,1.18258,0.00153497,0.00153497,0.00153497
6,638.187,1.38301,0.79465,1.16742,0.91006,0.85596,0.92648,0.54697,1.32103,0.70344,1.17233,0.00150197,0.00150197,0.00150197
7,739.305,1.35629,0.7676,1.15761,0.90452,0.84505,0.91261,0.54833,1.30345,0.66695,1.16554,0.00146896,0.00146896,0.00146896
8,841.274,1.34169,0.74491,1.1481,0.91356,0.88006,0.94177,0.56986,1.28506,0.61146,1.14192,0.00143595,0.00143595,0.00143595
9,943.415,1.34102,0.73815,1.15017,0.91079,0.86722,0.93487,0.5493,1.31449,0.64523,1.17049,0.00140295,0.00140295,0.00140295
10,1045.94,1.34043,0.72832,1.14834,0.91571,0.87747,0.93702,0.56063,1.28941,0.62121,1.14099,0.00136994,0.00136994,0.00136994
11,1148.21,1.32403,0.71253,1.14394,0.91036,0.87321,0.93511,0.57118,1.27121,0.60988,1.14885,0.00133693,0.00133693,0.00133693
12,1251.6,1.31616,0.70251,1.13985,0.92851,0.87783,0.94002,0.57886,1.26684,0.59504,1.14295,0.00130393,0.00130393,0.00130393
13,1354.75,1.31093,0.69639,1.13806,0.91568,0.89974,0.94669,0.57165,1.26815,0.59136,1.13854,0.00127092,0.00127092,0.00127092
14,1458.05,1.30967,0.68353,1.13022,0.93174,0.88359,0.94925,0.57506,1.28603,0.58641,1.15239,0.00123791,0.00123791,0.00123791
15,1560.26,1.30188,0.68272,1.12598,0.9166,0.89487,0.94451,0.58257,1.26552,0.5735,1.14073,0.00120491,0.00120491,0.00120491
16,1664.76,1.29143,0.67363,1.13059,0.92949,0.88516,0.94613,0.58491,1.25317,0.5678,1.12995,0.0011719,0.0011719,0.0011719
17,1767.3,1.2897,0.6629,1.12163,0.91799,0.88364,0.94461,0.58145,1.25276,0.57278,1.12878,0.00113889,0.00113889,0.00113889
18,1869.18,1.29012,0.66485,1.1234,0.92595,0.88318,0.94563,0.58132,1.25536,0.55907,1.1347,0.00110589,0.00110589,0.00110589
19,1971.98,1.29532,0.65383,1.11902,0.91885,0.90372,0.95111,0.5903,1.24371,0.56074,1.12754,0.00107288,0.00107288,0.00107288
20,2074.48,1.28506,0.64878,1.11926,0.91492,0.89571,0.95008,0.58856,1.25508,0.55861,1.13089,0.00103987,0.00103987,0.00103987
21,2177.82,1.27916,0.64053,1.11708,0.92667,0.89232,0.94981,0.58689,1.25873,0.55894,1.13192,0.00100687,0.00100687,0.00100687
22,2280.76,1.26654,0.63707,1.11262,0.91696,0.90624,0.95208,0.58767,1.24091,0.54445,1.13014,0.000973861,0.000973861,0.000973861
23,2383.61,1.2689,0.63567,1.11662,0.92708,0.8987,0.95395,0.59339,1.23831,0.54465,1.126,0.000940855,0.000940855,0.000940855
24,2486.47,1.25501,0.6234,1.11276,0.92819,0.89595,0.95418,0.58791,1.26227,0.54981,1.13836,0.000907848,0.000907848,0.000907848
25,2588.8,1.25366,0.62306,1.10875,0.9228,0.90812,0.95499,0.59931,1.22976,0.53059,1.12225,0.000874842,0.000874842,0.000874842
26,2691.71,1.25788,0.62397,1.11104,0.92415,0.90392,0.95398,0.60046,1.22459,0.53363,1.12097,0.000841835,0.000841835,0.000841835
27,2794.52,1.2505,0.61785,1.10983,0.92935,0.90397,0.95329,0.59803,1.2408,0.53235,1.12735,0.000808828,0.000808828,0.000808828
28,2897.51,1.24825,0.61212,1.1061,0.93472,0.89586,0.95423,0.59844,1.23219,0.52329,1.12291,0.000775822,0.000775822,0.000775822
29,3001.75,1.23868,0.60556,1.10352,0.92826,0.90744,0.95541,0.59799,1.23059,0.52409,1.12075,0.000742815,0.000742815,0.000742815
30,3105.31,1.23777,0.60371,1.10454,0.92435,0.91155,0.95802,0.59782,1.22579,0.51236,1.12051,0.000709809,0.000709809,0.000709809
31,3208.57,1.23144,0.59595,1.09717,0.92442,0.90659,0.95796,0.60256,1.22594,0.518,1.12063,0.000676802,0.000676802,0.000676802
32,3312.77,1.23664,0.5899,1.09819,0.93486,0.90685,0.95869,0.60481,1.22488,0.50995,1.1172,0.000643795,0.000643795,0.000643795
33,3416.84,1.22948,0.59409,1.09623,0.9301,0.91114,0.95886,0.60151,1.22518,0.50925,1.12281,0.000610789,0.000610789,0.000610789
34,3519.02,1.22069,0.58151,1.08916,0.93167,0.91151,0.95605,0.60387,1.21905,0.51085,1.11755,0.000577782,0.000577782,0.000577782
35,3621.03,1.20755,0.57726,1.09096,0.92785,0.90963,0.95758,0.60341,1.22141,0.51048,1.11618,0.000544776,0.000544776,0.000544776
36,3723.76,1.21908,0.57629,1.09051,0.9312,0.91449,0.9596,0.60658,1.21531,0.49772,1.11265,0.000511769,0.000511769,0.000511769
37,3825.84,1.20592,0.57383,1.08878,0.93684,0.91207,0.95895,0.60605,1.21794,0.50105,1.11556,0.000478762,0.000478762,0.000478762
38,3927.97,1.19821,0.56835,1.08022,0.93895,0.91252,0.9591,0.60844,1.21387,0.49835,1.11369,0.000445756,0.000445756,0.000445756
39,4029.74,1.19991,0.5654,1.08583,0.93932,0.90795,0.95853,0.60583,1.21778,0.49936,1.11581,0.000412749,0.000412749,0.000412749
40,4132.23,1.20676,0.56305,1.08355,0.93301,0.90888,0.96007,0.60625,1.21769,0.49687,1.11245,0.000379743,0.000379743,0.000379743
41,4282.67,1.18478,0.50432,1.09245,0.92855,0.91382,0.96104,0.60939,1.21013,0.49268,1.11088,0.000346736,0.000346736,0.000346736
42,4383.06,1.17125,0.49477,1.08899,0.93216,0.9175,0.96145,0.61078,1.21095,0.49164,1.11779,0.000313729,0.000313729,0.000313729
43,4482.84,1.16222,0.49169,1.08069,0.93349,0.9143,0.95841,0.60956,1.20845,0.49023,1.11215,0.000280723,0.000280723,0.000280723
44,4582.81,1.16139,0.48746,1.08512,0.92531,0.91826,0.96081,0.60951,1.21102,0.48729,1.11495,0.000247716,0.000247716,0.000247716
45,4683.15,1.15766,0.48411,1.08089,0.93718,0.91223,0.96226,0.61143,1.20794,0.48533,1.11431,0.00021471,0.00021471,0.00021471
46,4782.87,1.14362,0.47751,1.07649,0.92869,0.92009,0.96137,0.61002,1.21026,0.48291,1.11568,0.000181703,0.000181703,0.000181703
47,4882.91,1.14295,0.47386,1.07319,0.92922,0.92012,0.95984,0.61114,1.20482,0.48121,1.11203,0.000148696,0.000148696,0.000148696
48,4983.26,1.13785,0.47148,1.07306,0.92724,0.92176,0.96019,0.61094,1.20421,0.48293,1.11005,0.00011569,0.00011569,0.00011569
